allInPings,assistMePings,assists,baronKills,basicPings,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,placement,playerAugment1,playerAugment2,playerAugment3,playerAugment4,playerAugment5,playerAugment6,playerSubteamId,profileIcon,pushPings,puuid,quadraKills,retreatPings,riotIdGameName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,subteamPlacement,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,match_id,game_duration,game_mode,game_type,queue_id,game_version,game_creation,game_end,perks.statPerks.defense,perks.statPerks.flex,perks.statPerks.offense,perks.styles,bountyLevel
0,0,6,0,0,18179,17,901,Smolder,0,2,5,3027,20496,3027,15933,0,4,4,2,0,True,0,0,False,False,False,True,False,False,0,16065,12830,0,BOTTOM,1,1,0,3161,3508,0,3035,3171,3031,3364,24,3,13,BOTTOM,754,7,2,631,13381,2940,9839,0,19,0,0,1,0,0,5,9,0,178553,24426,15841,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,CARRY,0,178,65,44,10,0,6,21,2,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,319,,False,200,BOTTOM,10,2065,4,202080,29513,0,26321,7,9674,0,216,207,130,1,0,10144,2146,641,2,4,3,0,0,29,4,4,11,True,NA1_5335539119,2065,CLASSIC,MATCHED_GAME,420,15.15.699.7589,1753926868320,1753929024776,5011,5008,5005,"[{'description': 'primaryStyle', 'selections': [{'perk': 8021, 'var1': 1805, 'var2': 0, 'var3': 0}, {'perk': 8009, 'var1': 1179, 'var2': 0, 'var3': 0}, {'perk': 9103, 'var1': 19, 'var2': 50, 'var3': 0}, {'perk': 8017, 'var1': 1021, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 172}, {'perk': 8304, 'var1': 10, 'var2': 3, 'var3': 0}], 'style': 8300}]",
0,0,11,0,0,18072,17,145,Kaisa,0,0,2,2917,13257,2917,27048,0,8,1,1,0,True,2,0,False,False,False,False,False,False,0,17142,15275,0,BOTTOM,0,0,3,3072,6672,3124,3115,3006,1058,3364,27,3,9,BOTTOM,0,3,2,601,63731,20561,9383,0,16,0,1,0,0,0,2,9,0,171093,22746,18568,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,1,BANGBANG,7999,CARRY,0,77,58,100,13,0,8,21,4,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,319,,False,200,BOTTOM,1,2213,6,248336,44695,0,29523,4,7022,0,249,25,229,1,0,13510,1388,1571,2,2,11,0,0,18,1,5,4,False,NA1_5334986868,2213,CLASSIC,MATCHED_GAME,420,15.14.697.2104,1753853863804,1753856100743,5011,5008,5005,"[{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 1168, 'var2': 1168, 'var3': 0}, {'perk': 9111, 'var1': 1499, 'var2': 400, 'var3': 0}, {'perk': 9104, 'var1': 17, 'var2': 0, 'var3': 0}, {'perk': 8017, 'var1': 1349, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 229}, {'perk': 8304, 'var1': 10, 'var2': 3, 'var3': 0}], 'style': 8300}]",
0,0,11,0,0,17165,17,15,Sivir,0,1,3,2479,21039,2479,18784,0,5,1,1,0,True,4,0,True,False,False,False,False,False,0,15241,14650,0,BOTTOM,0,0,0,3033,3032,3031,3172,6675,0,3340,25,2,8,BOTTOM,605,3,2,696,90,90,8840,0,14,0,0,0,0,0,4,4,0,218886,29609,12561,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,CARRY,0,84,78,10,7,0,5,21,5,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,318,,False,100,BOTTOM,2,2077,4,220551,30037,0,22068,10,4097,0,240,50,165,1,0,1575,337,666,2,3,2,0,0,25,2,4,12,True,NA1_5334960534,2077,CLASSIC,MATCHED_GAME,420,15.14.697.2104,1753851301759,1753853398760,5011,5008,5005,"[{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 628, 'var2': 628, 'var3': 0}, {'perk': 8009, 'var1': 2273, 'var2': 0, 'var3': 0}, {'perk': 9104, 'var1': 13, 'var2': 40, 'var3': 0}, {'perk': 8014, 'var1': 634, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 177}, {'perk': 8316, 'var1': 7, 'var2': 10, 'var3': 0}], 'style': 8300}]",
0,0,2,0,0,12312,14,122,Darius,0,0,3,5733,6385,5733,8571,0,1,2,0,0,True,1,0,False,False,False,False,False,True,0,8941,7208,0,TOP,0,0,0,1054,3078,0,3047,1037,2021,3340,13,1,5,TOP,0,4,1,1041,0,0,5612,0,8,0,0,0,0,0,1,6,0,95559,9110,6078,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,SOLO,0,53,58,13,5,0,3,6,3,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,318,,False,200,TOP,12,1205,2,100641,11602,0,12698,4,3332,0,151,80,40,1,0,5081,2491,1007,2,2,0,0,0,10,2,0,9,True,NA1_5334022246,1205,CLASSIC,MATCHED_GAME,420,15.14.697.2104,1753729138808,1753730363970,5001,5008,5005,"[{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 321, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 556, 'var2': 140, 'var3': 0}, {'perk': 9105, 'var1': 15, 'var2': 0, 'var3': 0}, {'perk': 8299, 'var1': 267, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8446, 'var1': 2024, 'var2': 0, 'var3': 0}, {'perk': 8473, 'var1': 443, 'var2': 0, 'var3': 0}], 'style': 8400}]",
0,0,5,0,0,13656,15,86,Garen,0,0,3,0,1627,0,30085,0,5,2,0,0,True,1,0,False,False,False,False,False,False,0,8919,8400,0,TOP,0,0,4,1054,6631,1036,3071,3006,0,3340,19,0,2,TOP,0,0,1,546,475,226,11768,0,6,0,1,0,0,0,0,6,0,132591,9541,15630,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,SOLO,0,74,20,60,6,0,5,14,3,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,318,,False,200,TOP,35,1613,2,137382,13681,0,28169,0,2404,0,190,266,119,1,0,4315,3913,770,0,0,13,0,0,13,2,1,9,False,NA1_5333891428,1613,CLASSIC,MATCHED_GAME,420,15.14.697.2104,1753690400341,1753692034054,5013,5008,5008,"[{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 598, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 593, 'var2': 140, 'var3': 0}, {'perk': 9105, 'var1': 19, 'var2': 20, 'var3': 0}, {'perk': 8299, 'var1': 812, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8224, 'var1': 30, 'var2': 363, 'var3': 0}, {'perk': 8234, 'var1': 8626, 'var2': 0, 'var3': 0}], 'style': 8200}]",
0,0,8,0,0,11316,13,1,Annie,0,1,4,1245,2409,1245,8113,0,8,2,0,0,True,6,0,False,False,False,False,False,False,0,7923,7650,0,MIDDLE,0,0,1,1056,3118,3020,4646,1052,0,3340,21,0,2,MIDDLE,0,0,1,333,65388,12416,12812,0,0,0,1,0,0,0,0,3,0,5744,670,5624,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,SOLO,0,124,61,50,9,0,6,14,4,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,318,,False,100,MIDDLE,17,1666,0,72367,14196,924,18846,0,2251,0,120,233,231,1,0,1234,1108,409,1,1,7,0,0,19,2,1,9,False,NA1_5333881494,1666,CLASSIC,MATCHED_GAME,420,15.14.697.2104,1753688293966,1753690009517,5001,5008,5008,"[{'description': 'primaryStyle', 'selections': [{'perk': 8112, 'var1': 1093, 'var2': 0, 'var3': 0}, {'perk': 8126, 'var1': 377, 'var2': 0, 'var3': 0}, {'perk': 8140, 'var1': 10, 'var2': 0, 'var3': 0}, {'perk': 8105, 'var1': 40, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8224, 'var1': 38, 'var2': 262, 'var3': 0}, {'perk': 8236, 'var1': 24, 'var2': 0, 'var3': 0}], 'style': 8200}]",
0,0,8,0,0,15252,16,134,Syndra,0,3,5,756,2581,756,10135,0,4,3,0,0,True,1,0,False,False,False,False,False,False,0,10685,8825,0,MIDDLE,0,0,1,1056,2503,4629,1058,0,3020,3340,19,1,6,MIDDLE,0,6,1,1280,106685,19623,12464,0,1,0,1,0,0,0,1,3,0,11638,1423,8650,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,SOLO,0,163,158,42,11,0,2,12,5,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,317,,False,100,MIDDLE,29,1809,0,121077,21697,0,23315,1,4849,0,181,352,183,1,0,2754,650,2199,0,0,9,0,0,26,3,2,13,False,NA1_5333584954,1809,CLASSIC,MATCHED_GAME,440,15.14.697.2104,1753660492804,1753662335192,5001,5008,5005,"[{'description': 'primaryStyle', 'selections': [{'perk': 8214, 'var1': 1266, 'var2': 0, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 704, 'var3': 0}, {'perk': 8210, 'var1': 9, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 563, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 197}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}]",
0,0,15,0,0,23176,18,1,Annie,0,1,7,1864,10427,1864,24754,0,6,5,3,1,True,1,0,False,False,False,False,False,False,0,17709,15275,0,MIDDLE,0,1,3,3135,3118,3113,3020,3089,4645,3364,28,5,15,MIDDLE,329,6,3,1004,191062,37193,11597,0,8,0,0,1,0,0,1,8,0,10126,1248,21766,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,SOLO,0,182,109,113,28,0,5,12,5,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,317,,False,200,MIDDLE,31,2682,0,204682,39877,2195,35040,0,7896,0,229,484,314,1,1,3493,1434,1676,0,2,9,0,0,46,5,8,11,True,NA1_5333522630,2682,CLASSIC,MATCHED_GAME,440,15.14.697.2104,1753654892427,1753657609422,5001,5008,5008,"[{'description': 'primaryStyle', 'selections': [{'perk': 8112, 'var1': 1921, 'var2': 0, 'var3': 0}, {'perk': 8126, 'var1': 910, 'var2': 0, 'var3': 0}, {'perk': 8140, 'var1': 18, 'var2': 0, 'var3': 0}, {'perk': 8105, 'var1': 40, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8233, 'var1': 22, 'var2': 40, 'var3': 0}, {'perk': 8224, 'var1': 92, 'var2': 1101, 'var3': 0}], 'style': 8200}]",
0,0,6,0,0,16147,16,145,Kaisa,0,1,2,4721,15507,4721,21162,0,7,0,3,1,True,0,0,False,False,False,False,False,False,0,17086,17175,0,BOTTOM,0,0,1,3072,6672,3124,3172,3115,3302,3340,22,3,13,BOTTOM,0,6,3,613,53693,15338,7522,0,35,0,1,0,0,0,1,4,0,163201,22912,18384,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,CARRY,0,74,52,82,10,0,5,21,4,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,317,,False,100,BOTTOM,8,2098,26,238716,39727,0,26298,4,4376,0,215,162,205,1,1,21821,1476,391,1,2,7,0,0,23,1,4,10,False,NA1_5333501973,2098,CLASSIC,MATCHED_GAME,440,15.14.697.2104,1753652463891,1753654583201,5011,5008,5005,"[{'description': 'primaryStyle', 'selections': [{'perk': 8008, 'var1': 1053, 'var2': 1090, 'var3': 0}, {'perk': 9111, 'var1': 1207, 'var2': 380, 'var3': 0}, {'perk': 9104, 'var1': 14, 'var2': 40, 'var3': 0}, {'perk': 8017, 'var1': 1423, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 160}, {'perk': 8304, 'var1': 10, 'var2': 3, 'var3': 0}], 'style': 8300}]",
0,0,0,0,0,3973,7,99,Lux,0,1,4,154,638,154,2805,0,2,1,0,0,True,0,0,False,False,False,False,False,True,0,3657,3400,0,UTILITY,0,0,0,6655,3871,2055,0,0,0,3364,14,0,1,NONE,0,0,1,762,13929,5623,2519,0,0,0,1,0,0,0,0,5,0,3068,578,3490,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,SUPPORT,0,16,10,67,4,0,2,14,2,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,317,,False,100,UTILITY,25,930,0,18707,6391,107,6622,0,1137,0,22,95,40,1,0,1709,190,612,0,0,2,0,0,21,2,3,10,False,NA1_5333490206,930,CLASSIC,MATCHED_GAME,440,15.14.697.2104,1753651158602,1753652118160,5001,5008,5008,"[{'description': 'primaryStyle', 'selections': [{'perk': 8229, 'var1': 682, 'var2': 0, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 223, 'var3': 0}, {'perk': 8210, 'var1': 0, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 361, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8345, 'var1': 3, 'var2': 0, 'var3': 134}, {'perk': 8347, 'var1': 0, 'var2': 0, 'var3': 0}], 'style': 8300}]",
0,0,1,0,0,8153,11,1,Annie,0,1,4,829,829,829,6402,0,3,2,0,0,True,1,0,False,False,False,False,False,True,0,5818,5550,0,MIDDLE,0,0,1,1056,3118,3145,3020,0,0,3340,17,1,2,NONE,0,2,1,796,53730,11262,7534,0,0,0,1,0,0,0,0,8,0,6177,498,2496,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,DUO,0,108,45,34,7,0,2,12,3,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,317,,False,200,MIDDLE,22,1130,0,60188,12041,1122,10081,0,1285,0,117,236,63,1,0,280,280,50,0,0,6,0,0,13,2,1,6,False,NA1_5333475830,1130,CLASSIC,MATCHED_GAME,440,15.14.697.2104,1753649566829,1753650795681,5001,5008,5008,"[{'description': 'primaryStyle', 'selections': [{'perk': 8112, 'var1': 646, 'var2': 0, 'var3': 0}, {'perk': 8126, 'var1': 280, 'var2': 0, 'var3': 0}, {'perk': 8140, 'var1': 3, 'var2': 0, 'var3': 0}, {'perk': 8105, 'var1': 24, 'var2': 3, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8233, 'var1': 9, 'var2': 10, 'var3': 0}, {'perk': 8224, 'var1': 16, 'var2': 264, 'var3': 0}], 'style': 8200}]",
0,0,2,0,0,10643,13,99,Lux,0,0,4,1191,2396,1191,7615,0,2,2,0,1,True,3,0,False,False,False,False,False,True,0,9036,7850,0,MIDDLE,0,0,0,1056,2031,4645,3020,6655,0,3340,16,1,4,MIDDLE,0,3,1,879,70766,12948,628,0,4,0,1,0,0,0,0,8,0,12935,1717,9515,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,SOLO,0,63,31,148,8,0,3,12,3,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,317,,False,200,MIDDLE,44,1223,0,85173,14665,1002,10624,0,2021,0,148,371,35,1,0,1471,0,480,0,0,3,0,0,9,2,1,6,False,NA1_5333148605,1223,CLASSIC,MATCHED_GAME,440,15.14.697.2104,1753592199012,1753593560175,5001,5008,5008,"[{'description': 'primaryStyle', 'selections': [{'perk': 8229, 'var1': 1370, 'var2': 0, 'var3': 0}, {'perk': 8226, 'var1': 250, 'var2': 618, 'var3': 0}, {'perk': 8210, 'var1': 8, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 372, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8014, 'var1': 299, 'var2': 0, 'var3': 0}, {'perk': 8009, 'var1': 1851, 'var2': 0, 'var3': 0}], 'style': 8000}]",
0,1,3,0,0,15385,16,1,Annie,0,0,5,0,865,0,11080,0,6,3,0,0,True,1,0,False,False,False,False,False,False,0,11853,11225,0,MIDDLE,0,0,1,1056,3118,4645,3089,0,3020,3340,22,1,5,MIDDLE,0,4,1,529,129205,21049,8753,0,1,0,1,0,0,0,0,3,0,9285,651,7444,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,SOLO,0,174,77,65,23,0,6,14,4,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,317,,False,100,MIDDLE,28,2011,1,140302,23035,744,17271,0,1287,0,194,402,159,1,0,1811,1335,1074,0,0,7,0,0,22,3,0,13,False,NA1_5333114276,2011,CLASSIC,MATCHED_GAME,440,15.14.697.2104,1753589167075,1753591215739,5001,5008,5008,"[{'description': 'primaryStyle', 'selections': [{'perk': 8112, 'var1': 1485, 'var2': 0, 'var3': 0}, {'perk': 8126, 'var1': 288, 'var2': 0, 'var3': 0}, {'perk': 8140, 'var1': 8, 'var2': 0, 'var3': 0}, {'perk': 8105, 'var1': 40, 'var2': 5, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8233, 'var1': 17, 'var2': 40, 'var3': 0}, {'perk': 8224, 'var1': 23, 'var2': 619, 'var3': 0}], 'style': 8200}]",
0,0,3,0,0,6694,10,1,Annie,0,0,6,346,346,346,2978,0,4,2,0,0,True,3,0,False,False,False,False,False,True,0,4731,4525,0,MIDDLE,0,0,0,1056,3118,2055,3020,0,0,3340,16,0,0,NONE,0,0,0,279,38190,4642,4537,0,0,0,1,0,0,0,1,3,0,5229,449,2576,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,DUO,0,101,41,19,10,0,2,12,2,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,317,,False,100,MIDDLE,10,930,0,46667,5165,143,7278,0,273,0,111,144,65,1,0,3247,72,164,0,0,0,0,0,10,4,0,6,False,NA1_5333094914,930,CLASSIC,MATCHED_GAME,440,15.14.697.2104,1753587716546,1753588847928,5013,5008,5008,"[{'description': 'primaryStyle', 'selections': [{'perk': 8112, 'var1': 650, 'var2': 0, 'var3': 0}, {'perk': 8126, 'var1': 72, 'var2': 0, 'var3': 0}, {'perk': 8140, 'var1': 3, 'var2': 0, 'var3': 0}, {'perk': 8105, 'var1': 8, 'var2': 1, 'var3': 0}], 'style': 8100}, {'description': 'subStyle', 'selections': [{'perk': 8224, 'var1': 4, 'var2': 117, 'var3': 0}, {'perk': 8234, 'var1': 4033, 'var2': 0, 'var3': 0}], 'style': 8200}]",
0,0,5,0,0,18511,18,1,Annie,0,0,5,3064,8852,3064,18260,0,11,3,0,0,True,2,0,False,False,False,False,False,False,0,12771,12325,0,MIDDLE,1,1,0,1056,3020,3089,4630,4645,3118,3364,24,3,8,MIDDLE,0,3,1,296,116806,28030,11651,0,3,0,0,0,0,0,6,8,0,10406,922,16195,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,DUO,0,179,80,60,26,0,5,12,6,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,317,,False,200,MIDDLE,35,1980,3,141542,29581,2624,27959,0,3295,0,155,374,329,1,0,14330,628,112,2,4,6,0,0,22,3,3,11,True,NA1_5333057353,1980,CLASSIC,MATCHED_GAME,440,15.14.697.2104,1753584918860,1753586972960,5011,5008,5008,"[{'description': 'primaryStyle', 'selections': [{'perk': 8214, 'var1': 1593, 'var2': 0, 'var3': 0}, {'perk': 8224, 'var1': 46, 'var2': 831, 'var3': 0}, {'perk': 8234, 'var1': 10078, 'var2': 0, 'var3': 0}, {'perk': 8237, 'var1': 661, 'var2': 0, 'var3': 0}], 'style': 8200}, {'description': 'subStyle', 'selections': [{'perk': 8105, 'var1': 32, 'var2': 4, 'var3': 0}, {'perk': 8139, 'var1': 835, 'var2': 0, 'var3': 0}], 'style': 8100}]",
0,0,5,0,0,15987,16,122,Darius,0,3,5,7931,12330,7931,22361,0,5,4,3,0,True,2,0,False,True,False,False,False,False,0,14539,13550,0,TOP,0,0,0,3066,6631,3174,3053,3742,1057,3364,26,3,11,TOP,0,4,2,767,0,0,9564,0,0,0,0,1,0,0,2,1,0,119490,23094,9720,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,SOLO,0,68,86,23,12,0,7,6,5,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,316,,False,100,TOP,30,1861,0,126406,29640,0,26069,0,6381,0,168,152,182,1,0,6915,6546,6785,3,3,3,0,0,22,4,1,12,True,NA1_5332810309,1861,CLASSIC,MATCHED_GAME,420,15.14.697.2104,1753559373626,1753561284378,5001,5008,5005,"[{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 514, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 1443, 'var2': 320, 'var3': 0}, {'perk': 9105, 'var1': 17, 'var2': 0, 'var3': 0}, {'perk': 8299, 'var1': 780, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8446, 'var1': 3109, 'var2': 0, 'var3': 0}, {'perk': 8473, 'var1': 664, 'var2': 0, 'var3': 0}], 'style': 8400}]",
0,0,2,0,0,13483,15,122,Darius,0,0,3,3657,18224,3657,8833,0,1,2,0,0,True,3,0,False,False,False,False,False,True,0,9491,8383,0,TOP,0,0,0,1054,3047,3053,0,3078,0,3340,16,1,6,TOP,0,6,1,201,0,0,3095,0,4,0,0,0,0,0,0,1,0,90497,11711,8826,0,0,0,0,0,0,0,0,6852,0,U3fXW6HC3JpGV72px0i9_-yUAnXCClhqkhAUcatcwtso_1lzP9tp2sWU3RLL3Yugf4IuWbxJ-peSEA,0,0,BANGBANG,7999,SOLO,0,44,61,16,4,0,4,6,4,4,K-Awmc8YVtI9h0zevEK0ULdvOh6WqydZPrKOWpTkiGMvlpoi,316,,False,100,TOP,20,1332,4,95774,14050,0,12605,0,5376,0,163,72,12,1,0,5277,2338,683,2,2,1,0,0,17,2,2,10,True,NA1_5332762039,1332,CLASSIC,MATCHED_GAME,420,15.14.697.2104,1753552626202,1753553997960,5001,5008,5005,"[{'description': 'primaryStyle', 'selections': [{'perk': 8010, 'var1': 247, 'var2': 0, 'var3': 0}, {'perk': 9111, 'var1': 684, 'var2': 160, 'var3': 0}, {'perk': 9104, 'var1': 17, 'var2': 20, 'var3': 0}, {'perk': 8299, 'var1': 325, 'var2': 0, 'var3': 0}], 'style': 8000}, {'description': 'subStyle', 'selections': [{'perk': 8224, 'var1': 19, 'var2': 247, 'var3': 0}, {'perk': 8234, 'var1': 7583, 'var2': 0, 'var3': 0}], 'style': 8200}]",
